description,category,amount
gas station snacks,Food,12.86
Outback,Food,18.26
Trader Joe's,Food,14.44
Pei Wei,Food,18.34
Blaze Pizza,Food,11.08
Little Caesars,Food,28.42
ice cream,Food,14.02
First Watch,Food,18.07
frozen pizza,Food,53.16
Olive Garden,Food,18.24
lunch delivery,Food,14.1
Blue Bottle,Food,4.6
Wegmans,Food,69.74
food truck,Food,8.13
pad thai at Panda Express,Food,22.08
Chopt pad thai,Food,23.55
office lunch,Food,149.44
Grubhub food delivery,Food,20.16
Publix,Food,40.34
takeout,Food,76.1
team lunch,Food,36.52
noodles at Panda Express,Food,23.03
Waffle House brunch,Food,32.26
Cava,Food,22.14
Tim Hortons coffee,Food,5.51
Pei Wei pad thai,Food,80.61
Starbucks,Food,13.98
delivery at DoorDash,Food,22.56
Albertsons,Food,102.84
Chili's,Food,18.52
Cheesecake Factory,Food,63.41
pasta,Food,18.53
Papa John's,Food,33.57
vending machine,Food,20.51
Pizza Hut wings,Food,20.11
Uber Eats,Food,44.79
breakfast sandwich,Food,11.2
quesadilla at Jimmy John's,Food,9.26
Pei Wei noodles,Food,86.26
Whole Foods produce,Food,14.97
Sprouts,Food,12.05
Noodles & Company,Food,81.5
wings at Pizza Hut,Food,37.46
Panda Express,Food,12.17
family dinner at Buffalo Wild Wings,Food,145.76
takeout at Uber Eats,Food,111.54
Grubhub lunch delivery,Food,51.29
Publix orange juice,Food,12.02
groceries,Food,21.73
Waffle House,Food,18.2
Caribou Coffee,Food,76.86
sub,Food,130.41
IHOP brunch,Food,65.48
breakfast at Red Lobster,Food,31.26
Blaze Pizza wings,Food,17.06
large pizza,Food,12.52
Little Caesars large pizza,Food,24.34
dinner at Cheesecake Factory,Food,65.21
produce at Albertsons,Food,66.83
Winn-Dixie orange juice,Food,55.43
pizza,Food,18.24
Sprouts peanut butter,Food,17.29
Texas Roadhouse,Food,48.89
Olive Garden breakfast,Food,131.66
large pizza at Little Caesars,Food,18.98
Texas Roadhouse brunch,Food,75.47
breadsticks,Food,32.98
In-N-Out nuggets,Food,11.94
Papa John's wings,Food,19.73
DoorDash,Food,31.27
DoorDash dinner delivery,Food,47.71
Little Caesars wings,Food,13.71
DoorDash delivery,Food,34.07
Seamless,Food,20.86
farmers market,Food,6.18
Red Lobster wings,Food,28.68
americano,Food,11.87
chips at Food Lion,Food,17.78
wings at Papa John's,Food,95.65
DoorDash grocery delivery,Food,51.97
Domino's,Food,14.97
dinner at Olive Garden,Food,26.41
dinner,Food,13.04
Cracker Barrel dinner,Food,36.05
Meijer,Food,14.67
Arby's fries,Food,12.17
Chopt pho,Food,98.22
Seamless takeout,Food,15.62
Applebee's brunch,Food,45.67
lunch,Food,20.38
Stop & Shop grocery run,Food,58.97
breakfast sandwich at Krispy Kreme,Food,7.01
Jersey Mike's,Food,12.61
Cheesecake Factory appetizers,Food,28.69
Panera tacos,Food,10.38
Dutch Bros,Food,7.3
Aldi,Food,48.12
Pizza Hut pizza,Food,11.2
Instacart,Food,36.83
family dinner at Chili's,Food,20.85
burger,Food,17.05
sub at Chipotle,Food,18.52
takeout at Postmates,Food,23.49
snacks,Food,22.75
Olive Garden family dinner,Food,38.84
Denny's bbq,Food,26.92
appetizers at Red Lobster,Food,51.97
coffee,Food,9.6
Papa John's slice,Food,34.98
sushi,Food,18.62
Postmates,Food,14.07
Waffle House appetizers,Food,153.1
grocery delivery,Food,27.72
milk,Food,112.27
lunch at Culver's,Food,17.37
Jamba Juice,Food,3.78
Trader Joe's coffee beans,Food,106.98
Subway,Food,14.85
Domino's large pizza,Food,17.33
Popeyes,Food,16.05
Krispy Kreme,Food,10.95
Panda Express ramen,Food,17.73
Pizza Hut,Food,12.33
Texas Roadhouse wings,Food,52.0
Applebee's,Food,39.14
First Watch brunch,Food,25.65
food delivery at Uber Eats,Food,51.81
Chopt poke bowl,Food,19.23
H-E-B,Food,83.15
Taco Bell sub,Food,10.55
wings at Outback,Food,27.47
Arby's,Food,7.5
Pei Wei curry,Food,18.96
KFC,Food,24.93
Cracker Barrel,Food,61.73
Instacart delivery,Food,22.07
wings,Food,149.24
Blaze Pizza pizza delivery,Food,13.57
Popeyes wings,Food,14.89
sushi at Cava,Food,11.79
olive oil at Publix,Food,18.53
Peet's,Food,10.85
Red Lobster,Food,65.24
chai latte,Food,11.15
Whataburger burrito bowl,Food,19.44
Panda Express curry,Food,14.69
sushi at Chopt,Food,11.31
lunch at Subway,Food,22.46
dumplings,Food,13.88
produce,Food,70.17
Postmates delivery,Food,32.09
Shake Shack,Food,17.69
vegetables,Food,93.71
bbq,Food,62.76
pad thai,Food,24.97
dumplings at Noodles & Company,Food,21.26
Dutch Bros pastry,Food,6.74
fries at Sonic,Food,25.93
Jersey Mike's wings,Food,21.91
Peet's cappuccino,Food,8.64
Noodles & Company pho,Food,14.11
smoothie,Food,8.98
dinner delivery at Instacart,Food,30.41
Albertsons ground beef,Food,17.37
Wegmans rice,Food,26.37
Giant produce,Food,83.49
Chopt,Food,10.02
Jimmy John's,Food,14.05
Uber Eats food delivery,Food,104.72
Dunkin,Food,13.01
poke bowl at Noodles & Company,Food,26.09
Blue Bottle pastry,Food,7.63
poke bowl at Chopt,Food,15.13
delivery at Uber Eats,Food,24.87
coffee beans,Food,113.19
Stop & Shop orange juice,Food,47.48
Blaze Pizza large pizza,Food,15.98
Whole Foods chicken,Food,52.77
breadsticks at Papa John's,Food,16.84
Meijer peanut butter,Food,161.03
grocery delivery at Seamless,Food,50.0
Red Robin,Food,26.85
Food Lion cereal,Food,94.88
McDonald's salad,Food,9.78
dinner at Cracker Barrel,Food,43.2
peanut butter at H-E-B,Food,43.85
Uber Eats dinner delivery,Food,19.53
Chili's lunch,Food,30.76
Waffle House bbq,Food,28.69
Kroger,Food,161.97
Pizza Hut slice,Food,23.86
pad thai at Noodles & Company,Food,26.73
Noodles & Company curry,Food,20.79
Red Robin lunch,Food,64.71
Panda Express noodles,Food,24.36
Food Lion,Food,12.07
Noodles & Company pad thai,Food,18.6
Sweetgreen,Food,17.38
Uber Eats late night order,Food,26.52
groceries at Giant,Food,163.8
Domino's wings,Food,80.18
Stop & Shop,Food,19.06
orange juice at Albertsons,Food,39.16
Shake Shack sandwich,Food,9.9
Instacart grocery delivery,Food,29.33
Raising Cane's,Food,93.3
Panda Express pho,Food,10.59
IHOP bbq,Food,47.25
iced coffee,Food,3.89
Jamba Juice donuts,Food,12.35
takeout at Grubhub,Food,34.14
breadsticks at Blaze Pizza,Food,16.69
snacks at Winn-Dixie,Food,90.1
Safeway chicken,Food,78.82
Uber Eats grocery delivery,Food,26.99
pasta at Winn-Dixie,Food,91.45
poke bowl,Food,113.35
Tim Hortons,Food,9.78
chicken at Meijer,Food,89.35
Chick-fil-A,Food,7.71
Noodles & Company dumplings,Food,15.27
frozen pizza at Albertsons,Food,14.14
steak dinner at Buffalo Wild Wings,Food,18.18
bowl,Food,13.74
curry,Food,10.44
dinner at KFC,Food,161.16
Krispy Kreme croissant,Food,5.04
poke bowl at Cava,Food,18.46
Cava curry,Food,10.38
Denny's,Food,27.07
Seamless delivery,Food,41.1
noodles at Chopt,Food,16.08
In-N-Out takeout,Food,11.52
Postmates food delivery,Food,124.36
Outback lunch,Food,18.1
Tim Hortons cappuccino,Food,5.66
chicken at Safeway,Food,41.16
Domino's breadsticks,Food,82.69
delivery at Postmates,Food,24.35
McDonald's dinner,Food,11.66
